SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
114,DC:A6:32:33:B0:DA,2020-07-11 20:32:48.015459,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-55
115,DC:A6:32:33:B0:DA,2020-07-11 20:32:49.179922,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-56
116,DC:A6:32:33:B0:DA,2020-07-11 20:32:50.031376,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-54
117,DC:A6:32:33:B0:DA,2020-07-11 20:32:51.037552,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-53
118,DC:A6:32:33:B0:DA,2020-07-11 20:32:52.037522,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-52
119,DC:A6:32:33:B0:DA,2020-07-11 20:32:53.057655,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-53
120,DC:A6:32:33:B0:DA,2020-07-11 20:32:54.041790,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-50
121,DC:A6:32:33:B0:DA,2020-07-11 20:32:55.056432,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-54
122,DC:A6:32:33:B0:DA,2020-07-11 20:32:56.015147,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-60
123,DC:A6:32:33:B0:DA,2020-07-11 20:32:57.030080,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-71
124,DC:A6:32:33:B0:DA,2020-07-11 20:32:58.183165,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-64
125,DC:A6:32:33:B0:DA,2020-07-11 20:32:59.076259,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-64
126,DC:A6:32:33:B0:DA,2020-07-11 20:33:00.129462,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-70
127,DC:A6:32:33:B0:DA,2020-07-11 20:33:01.065172,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-67
128,DC:A6:32:33:B0:DA,2020-07-11 20:33:02.077615,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-65
129,DC:A6:32:33:B0:DA,2020-07-11 20:33:03.069404,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-63
130,DC:A6:32:33:B0:DA,2020-07-11 20:33:04.016262,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-66
131,DC:A6:32:33:B0:DA,2020-07-11 20:33:05.006353,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-71
132,DC:A6:32:33:B0:DA,2020-07-11 20:33:06.234009,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-69
133,DC:A6:32:33:B0:DA,2020-07-11 20:33:07.002027,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-60
134,DC:A6:32:33:B0:DA,2020-07-11 20:33:08.021364,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-59
135,DC:A6:32:33:B0:DA,2020-07-11 20:33:09.025299,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-68
