SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
105,DC:A6:32:33:B0:DA,2020-07-12 20:24:09.040765,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-77
106,DC:A6:32:33:B0:DA,2020-07-12 20:24:10.239531,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-69
107,DC:A6:32:33:B0:DA,2020-07-12 20:24:11.098274,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-65
108,DC:A6:32:33:B0:DA,2020-07-12 20:24:12.009565,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-70
109,DC:A6:32:33:B0:DA,2020-07-12 20:24:13.029564,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-64
110,DC:A6:32:33:B0:DA,2020-07-12 20:24:14.039682,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-63
111,DC:A6:32:33:B0:DA,2020-07-12 20:24:15.240872,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-78
112,DC:A6:32:33:B0:DA,2020-07-12 20:24:16.050899,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-70
113,DC:A6:32:33:B0:DA,2020-07-12 20:24:17.028413,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-70
114,DC:A6:32:33:B0:DA,2020-07-12 20:24:18.041581,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-62
115,DC:A6:32:33:B0:DA,2020-07-12 20:24:19.001626,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-66
116,DC:A6:32:33:B0:DA,2020-07-12 20:24:20.113106,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-72
117,DC:A6:32:33:B0:DA,2020-07-12 20:24:21.036135,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-68
118,DC:A6:32:33:B0:DA,2020-07-12 20:24:22.141086,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-64
119,DC:A6:32:33:B0:DA,2020-07-12 20:24:23.034988,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-68
120,DC:A6:32:33:B0:DA,2020-07-12 20:24:24.494895,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-66
121,DC:A6:32:33:B0:DA,2020-07-12 20:24:25.181141,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-71
122,DC:A6:32:33:B0:DA,2020-07-12 20:24:26.013075,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-69
123,DC:A6:32:33:B0:DA,2020-07-12 20:24:27.031280,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-69
124,DC:A6:32:33:B0:DA,2020-07-12 20:24:28.041960,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-62
125,DC:A6:32:33:B0:DA,2020-07-12 20:24:29.033765,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-69
126,DC:A6:32:33:B0:DA,2020-07-12 20:24:30.015604,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-64
127,DC:A6:32:33:B0:DA,2020-07-12 20:24:31.027696,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-63
128,DC:A6:32:33:B0:DA,2020-07-12 20:24:32.033879,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-71
129,DC:A6:32:33:B0:DA,2020-07-12 20:24:33.462621,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-87
130,DC:A6:32:33:B0:DA,2020-07-12 20:24:34.148839,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-80
131,DC:A6:32:33:B0:DA,2020-07-12 20:24:35.127675,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-77
132,DC:A6:32:33:B0:DA,2020-07-12 20:24:36.286504,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-73
133,DC:A6:32:33:B0:DA,2020-07-12 20:24:37.239006,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-70
134,DC:A6:32:33:B0:DA,2020-07-12 20:24:38.070895,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-76
135,DC:A6:32:33:B0:DA,2020-07-12 20:24:39.297892,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-73
136,DC:A6:32:33:B0:DA,2020-07-12 20:24:40.090281,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-77
137,DC:A6:32:33:B0:DA,2020-07-12 20:24:41.019037,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-94
138,DC:A6:32:33:B0:DA,2020-07-12 20:24:42.116554,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-72
139,DC:A6:32:33:B0:DA,2020-07-12 20:24:43.216716,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-65
140,DC:A6:32:33:B0:DA,2020-07-12 20:24:44.110443,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-73
141,DC:A6:32:33:B0:DA,2020-07-12 20:24:45.084142,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-65
142,DC:A6:32:33:B0:DA,2020-07-12 20:24:46.055602,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-66
143,DC:A6:32:33:B0:DA,2020-07-12 20:24:47.008054,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-62
144,DC:A6:32:33:B0:DA,2020-07-12 20:24:48.018015,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-62
145,DC:A6:32:33:B0:DA,2020-07-12 20:24:49.091896,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-60
146,DC:A6:32:33:B0:DA,2020-07-12 20:24:50.135564,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-62
147,DC:A6:32:33:B0:DA,2020-07-12 20:24:51.031927,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-61
148,DC:A6:32:33:B0:DA,2020-07-12 20:24:52.017012,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-61
149,DC:A6:32:33:B0:DA,2020-07-12 20:24:53.055719,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-59
150,DC:A6:32:33:B0:DA,2020-07-12 20:24:54.012101,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-65
151,DC:A6:32:33:B0:DA,2020-07-12 20:24:55.081969,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-69
152,DC:A6:32:33:B0:DA,2020-07-12 20:24:56.010814,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-81
153,DC:A6:32:33:B0:DA,2020-07-12 20:24:57.322605,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-78
154,DC:A6:32:33:B0:DA,2020-07-12 20:24:58.101987,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-81
155,DC:A6:32:33:B0:DA,2020-07-12 20:24:59.025949,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-84
156,DC:A6:32:33:B0:DA,2020-07-12 20:25:00.095888,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-80
157,DC:A6:32:33:B0:DA,2020-07-12 20:25:01.232159,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-78
158,DC:A6:32:33:B0:DA,2020-07-12 20:25:02.054118,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-81
159,DC:A6:32:33:B0:DA,2020-07-12 20:25:03.002141,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-71
160,DC:A6:32:33:B0:DA,2020-07-12 20:25:04.102742,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-66
161,DC:A6:32:33:B0:DA,2020-07-12 20:25:05.111004,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-76
162,DC:A6:32:33:B0:DA,2020-07-12 20:25:06.079781,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-69
163,DC:A6:32:33:B0:DA,2020-07-12 20:25:07.072977,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-73
164,DC:A6:32:33:B0:DA,2020-07-12 20:25:08.061136,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-69
165,DC:A6:32:33:B0:DA,2020-07-12 20:25:09.078614,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-71
166,DC:A6:32:33:B0:DA,2020-07-12 20:25:10.021201,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-63
167,DC:A6:32:33:B0:DA,2020-07-12 20:25:11.116773,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-80
168,DC:A6:32:33:B0:DA,2020-07-12 20:25:12.003739,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-67
169,DC:A6:32:33:B0:DA,2020-07-12 20:25:13.022416,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-54
170,DC:A6:32:33:B0:DA,2020-07-12 20:25:14.038617,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-69
171,DC:A6:32:33:B0:DA,2020-07-12 20:25:15.013166,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-73
172,DC:A6:32:33:B0:DA,2020-07-12 20:25:16.003161,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-67
173,DC:A6:32:33:B0:DA,2020-07-12 20:25:17.022022,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-71
174,DC:A6:32:33:B0:DA,2020-07-12 20:25:18.073273,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-70
175,DC:A6:32:33:B0:DA,2020-07-12 20:25:19.022616,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-72
176,DC:A6:32:33:B0:DA,2020-07-12 20:25:20.156323,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-63
177,DC:A6:32:33:B0:DA,2020-07-12 20:25:21.101481,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-70
178,DC:A6:32:33:B0:DA,2020-07-12 20:25:22.140358,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-69
179,DC:A6:32:33:B0:DA,2020-07-12 20:25:23.005263,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-66
180,DC:A6:32:33:B0:DA,2020-07-12 20:25:24.017719,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-80
181,DC:A6:32:33:B0:DA,2020-07-12 20:25:25.083367,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-77
182,DC:A6:32:33:B0:DA,2020-07-12 20:25:26.091642,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-73
183,DC:A6:32:33:B0:DA,2020-07-12 20:25:27.058858,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-68
184,DC:A6:32:33:B0:DA,2020-07-12 20:25:28.013488,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-59
185,DC:A6:32:33:B0:DA,2020-07-12 20:25:29.086622,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-62
186,DC:A6:32:33:B0:DA,2020-07-12 20:25:30.126539,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-65
187,DC:A6:32:33:B0:DA,2020-07-12 20:25:31.025475,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-65
188,DC:A6:32:33:B0:DA,2020-07-12 20:25:32.007875,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-71
189,DC:A6:32:33:B0:DA,2020-07-12 20:25:33.008071,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-65
190,DC:A6:32:33:B0:DA,2020-07-12 20:25:34.050436,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-72
191,DC:A6:32:33:B0:DA,2020-07-12 20:25:35.210438,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-67
192,DC:A6:32:33:B0:DA,2020-07-12 20:25:36.109312,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-69
193,DC:A6:32:33:B0:DA,2020-07-12 20:25:37.018124,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-85
194,DC:A6:32:33:B0:DA,2020-07-12 20:25:38.118751,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-75
195,DC:A6:32:33:B0:DA,2020-07-12 20:25:39.028130,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-78
196,DC:A6:32:33:B0:DA,2020-07-12 20:25:40.088074,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-74
197,DC:A6:32:33:B0:DA,2020-07-12 20:25:41.042639,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-69
